,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
1,9767864,50068597,2015-11-28,t,3.0,t,Tompkinsville,Staten Island,40.636614420296596,-74.07868234762553,t,House,Private room,1.0,2.0,Real Bed,$40.00,290
4,6179073,32052000,2015-04-27,t,2.0,t,Manhattan Beach,Brooklyn,40.57770240488932,-73.93987500796518,t,House,Private room,1.0,1.0,Real Bed,$45.00,239
6,19192001,41398005,2015-08-13,f,5.0,t,Arrochar,Staten Island,40.59398069847968,-74.06802414755633,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$69.00,41
7,18895187,45601111,2015-10-02,f,5.0,t,Laurelton,Queens,40.669713065390575,-73.74729548622359,t,House,Private room,1.0,1.0,Real Bed,$40.00,365
9,17500994,87889145,2016-08-04,f,1.0,t,Canarsie,Brooklyn,40.64457856046365,-73.90285144537327,t,Guesthouse,Entire home/apt,1.0,1.0,Real Bed,$55.00,185
10,738588,1360198,2011-11-01,f,4.0,t,Arrochar,Staten Island,40.59192978891966,-74.06476426213608,t,House,Entire home/apt,7.0,15.0,Real Bed,$625.00,349
11,17622093,2070825,2012-04-04,f,1.0,t,Sheepshead Bay,Brooklyn,40.584659885484314,-73.95176797206554,t,Apartment,Private room,1.0,2.0,Real Bed,$90.00,88
12,9999919,15728213,2014-05-19,f,1.0,t,Canarsie,Brooklyn,40.63262819312747,-73.8960011831645,t,House,Entire home/apt,3.0,4.0,Real Bed,$250.00,365
13,6437262,33605594,2015-05-17,f,1.0,t,Sheepshead Bay,Brooklyn,40.592252871532814,-73.95025987622951,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,217
15,6249333,1925958,2012-03-15,f,1.0,t,Brighton Beach,Brooklyn,40.57728190230017,-73.96396797540439,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,363
21,15741448,101712494,2016-10-29,f,2.0,t,Rosedale,Queens,40.67104218977785,-73.73005811405116,t,House,Private room,1.0,1.0,Real Bed,$55.00,364
23,23353999,12833262,2014-03-05,f,1.0,t,Brighton Beach,Brooklyn,40.58016927983701,-73.96635680185149,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$110.00,215
24,13170159,62535444,2016-03-11,f,2.0,t,Manhattan Beach,Brooklyn,40.578666775516076,-73.95226810568492,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$99.00,364
27,10267693,52793525,2015-12-30,f,1.0,t,Far Rockaway,Queens,40.59606684747568,-73.7591062490962,t,House,Entire home/apt,1.0,2.0,Real Bed,$100.00,105
28,18006860,123778595,2017-04-01,t,1.0,t,Cambria Heights,Queens,40.6965174123137,-73.72491067102628,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$60.00,336
31,867220,391612,2011-02-14,f,1.0,t,Flatbush,Brooklyn,40.650071163424975,-73.96623806222634,t,House,Entire home/apt,5.0,5.0,Real Bed,$740.00,361
34,3504289,11308483,2014-01-14,f,1.0,t,Kips Bay,Manhattan,40.738771654257064,-73.98170920318223,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,0
36,21850427,6186498,2013-05-01,t,4.0,t,Ridgewood,Queens,40.69946040315811,-73.90833353948166,t,Apartment,Private room,1.0,2.0,Real Bed,$60.00,85
37,13542287,17860156,2014-07-09,f,1.0,t,Williamsburg,Brooklyn,40.704197646145744,-73.94193290464352,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
38,15885180,40925577,2015-08-09,f,1.0,t,Gramercy,Manhattan,40.73599726196381,-73.98148451780943,t,Apartment,Private room,1.0,1.0,Real Bed,$115.00,89
39,22420902,52221728,2015-12-25,f,1.0,t,Williamsburg,Brooklyn,40.70513669668797,-73.94418017515041,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
40,19696972,98093770,2016-10-05,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69544966834754,-73.94839352079792,t,Apartment,Private room,1.0,1.0,Real Bed,$44.00,0
41,1403827,7557833,2013-07-17,f,6.0,t,Bedford-Stuyvesant,Brooklyn,40.691945801347316,-73.94556606913791,t,Aparthotel,Private room,1.0,1.0,Real Bed,$95.00,210
42,19227424,86327101,2016-07-27,f,6.0,t,Bedford-Stuyvesant,Brooklyn,40.68119870799604,-73.9114777636947,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,152
43,23078129,25201558,2014-12-25,f,1.0,t,Kips Bay,Manhattan,40.74515956747119,-73.97812225317719,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$120.00,3
45,18210358,76114242,2016-06-06,f,1.0,t,Kips Bay,Manhattan,40.73916104836723,-73.98220122899814,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$235.00,0
47,660016,270064,2010-10-24,t,3.0,t,Williamsburg,Brooklyn,40.70248790975057,-73.94879931100701,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$139.00,29
48,1569444,8345981,2013-08-23,t,2.0,t,Kips Bay,Manhattan,40.7407394257219,-73.9818976929553,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$300.00,6
49,15658350,432149,2011-03-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69904704506095,-73.94450978621528,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$98.00,0
52,15042085,6574386,2013-05-25,f,2.0,t,Ridgewood,Queens,40.7029778043017,-73.9053379569308,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,89
53,13686462,13351364,2014-03-20,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68438157801753,-73.94823632163906,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$180.00,147
55,287272,433917,2011-03-10,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.67903838129974,-73.94904214809434,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$124.00,26
56,7475708,12535775,2014-02-24,f,1.0,t,Gramercy,Manhattan,40.73763849516462,-73.98189945171764,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$200.00,0
57,105416,540526,2011-04-27,f,1.0,t,Williamsburg,Brooklyn,40.70568134708661,-73.9498389600107,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$115.00,298
60,5181720,5399418,2013-03-10,f,1.0,t,Bushwick,Brooklyn,40.69092189791297,-73.9044265410245,t,Loft,Private room,1.0,1.0,Real Bed,$30.00,0
61,233638,1012895,2011-08-24,f,1.0,t,Ridgewood,Queens,40.70162770039715,-73.90867160396681,t,Apartment,Private room,1.0,2.0,Real Bed,$55.00,365
62,23414025,399649,2011-02-19,f,1.0,t,Gramercy,Manhattan,40.7362485058862,-73.98280898894184,t,Apartment,Private room,1.0,1.0,Real Bed,$99.00,26
66,10686287,36998357,2015-06-28,f,1.0,t,Kips Bay,Manhattan,40.7388049883676,-73.980239770216,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
67,5319785,5734689,2013-04-02,f,1.0,t,Gramercy,Manhattan,40.736267861475156,-73.9801992056276,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$139.00,0
68,13065347,48764969,2015-11-11,f,5.0,t,Cypress Hills,Brooklyn,40.68121890989611,-73.90398914523891,t,Apartment,Private room,1.0,1.0,Real Bed,$42.00,280
70,16309329,934811,2011-08-07,f,3.0,t,Kips Bay,Manhattan,40.7404653815739,-73.98380889330456,t,Apartment,Private room,1.0,2.0,Real Bed,$70.00,0
73,1325911,7165563,2013-06-28,f,1.0,t,Kips Bay,Manhattan,40.74018529087546,-73.98114887242376,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$145.00,189
75,24087361,27691935,2015-02-13,f,2.0,t,Ridgewood,Queens,40.699940871259216,-73.90545681788113,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$175.00,89
77,16298489,47675184,2015-10-29,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69201233349257,-73.94750258627765,t,Apartment,Private room,1.0,1.0,Real Bed,$35.00,0
78,7310413,1603343,2012-01-13,f,1.0,t,Bushwick,Brooklyn,40.70403072135018,-73.91276108745559,t,Apartment,Entire home/apt,3.0,2.0,Real Bed,$225.00,0
79,18948131,132103625,2017-05-26,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.67877926871823,-73.90802878521096,t,Apartment,Private room,1.0,1.0,Real Bed,$45.00,77
80,8719984,42788011,2015-08-28,f,1.0,t,Kips Bay,Manhattan,40.74279117137601,-73.97832959523339,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$75.00,0
83,4727889,10679309,2013-12-17,f,1.0,t,Midtown,Manhattan,40.74577587409809,-73.98075592449827,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$130.00,0
85,19999160,2359141,2012-05-13,f,3.0,t,Bedford-Stuyvesant,Brooklyn,40.6813641582853,-73.91273587238592,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$87.00,111
87,6608666,34546849,2015-05-29,f,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68735600456935,-73.92827331612682,t,House,Private room,1.0,1.0,Real Bed,$70.00,290
89,19946976,38645342,2015-07-16,f,10.0,t,Bushwick,Brooklyn,40.695473938039996,-73.92151236002893,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,88
90,7775924,3002111,2012-07-20,f,2.0,t,Kips Bay,Manhattan,40.740563254382096,-73.98389164371329,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,0
91,17810272,38645342,2015-07-16,f,10.0,t,Bushwick,Brooklyn,40.69562643380007,-73.9200767051595,t,Townhouse,Private room,1.0,2.0,Real Bed,$75.00,90
95,8483688,9246269,2013-10-05,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69497907305932,-73.94236562265307,t,Apartment,Private room,1.0,1.0,Real Bed,$42.00,0
99,255996,1345745,2011-10-28,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68717478345091,-73.92250433217137,t,Apartment,Private room,1.0,1.0,Real Bed,$125.00,365
