,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
0,7949480,119445,2010-05-06,t,1.0,t,City Island,Bronx,40.85205377887418,-73.78867963460138,t,House,Private room,1.0,1.0,Real Bed,$99.00,176
2,11675715,56714504,2016-01-30,t,1.0,t,City Island,Bronx,40.851391475520586,-73.78413886754987,t,House,Entire home/apt,1.0,2.0,Real Bed,$85.00,348
7,6627449,13886510,2014-04-04,t,1.0,t,City Island,Bronx,40.84977456920603,-73.78660938743727,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,344
8,5557381,28811542,2015-03-05,f,1.0,t,City Island,Bronx,40.85002381416047,-73.78932759494228,t,House,Private room,1.0,1.0,Real Bed,$69.00,336
11,755528,3684360,2012-09-26,f,5.0,t,Allerton,Bronx,40.858396592609346,-73.86968575313621,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$49.00,321
13,759901,873273,2011-07-26,f,5.0,t,Allerton,Bronx,40.86633066268338,-73.85642849360434,t,House,Private room,1.0,1.0,Real Bed,$85.00,332
16,4462008,16286162,2014-06-02,t,4.0,t,Allerton,Bronx,40.86814416518714,-73.85874498297198,t,House,Private room,1.0,2.0,Real Bed,$41.00,343
20,4407790,16286162,2014-06-02,t,4.0,t,Allerton,Bronx,40.8668196519771,-73.85811594431937,t,House,Private room,1.0,1.0,Real Bed,$45.00,9
22,3400359,16286162,2014-06-02,t,4.0,t,Allerton,Bronx,40.86676961474904,-73.8593779298868,t,House,Private room,2.0,1.0,Real Bed,$43.00,353
23,5046189,23732730,2014-11-14,f,5.0,t,Allerton,Bronx,40.87054096738221,-73.84680708823343,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$200.00,360
25,715270,3684360,2012-09-26,f,5.0,t,Allerton,Bronx,40.859559279042436,-73.87066897774649,t,Apartment,Private room,1.0,2.0,Real Bed,$39.00,351
28,182177,873273,2011-07-26,f,5.0,t,Allerton,Bronx,40.864658045324134,-73.85708738793606,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$125.00,324
32,20449125,10725461,2013-12-20,f,1.0,t,Allerton,Bronx,40.85929297702501,-73.8696068625731,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$109.00,137
34,3429765,16286162,2014-06-02,t,4.0,t,Allerton,Bronx,40.8668887200942,-73.857756180011,t,House,Private room,1.0,1.0,Real Bed,$43.00,185
38,876792,1488404,2011-12-09,f,1.0,t,Ditmars Steinway,Queens,40.7709314362673,-73.91725774619034,t,Apartment,Private room,1.0,1.0,Real Bed,$69.00,305
42,2836845,10987233,2014-01-03,t,1.0,t,Ditmars Steinway,Queens,40.77296895279653,-73.916037916329,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$160.00,301
43,21568017,111723,2010-04-21,f,2.0,t,Ditmars Steinway,Queens,40.772559012144825,-73.91575447245134,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$130.00,29
46,19477007,17198463,2014-06-24,f,1.0,t,Ditmars Steinway,Queens,40.76904103486678,-73.8929140887273,t,Condominium,Private room,1.0,1.0,Real Bed,$75.00,83
49,16302869,27951037,2015-02-18,t,2.0,t,Ditmars Steinway,Queens,40.776643122149395,-73.90895678907975,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,33
51,6357564,10314085,2013-11-28,f,2.0,t,Ditmars Steinway,Queens,40.77752755297728,-73.90951982243556,t,Dorm,Private room,1.0,1.0,Real Bed,$50.00,360
58,7788504,2702826,2012-06-21,f,1.0,t,Ditmars Steinway,Queens,40.7777896703708,-73.90896203037799,t,House,Private room,1.0,1.0,Real Bed,$56.00,0
59,8079482,29155779,2015-03-11,f,1.0,t,Ditmars Steinway,Queens,40.77165365451834,-73.901770644381,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$130.00,345
61,795641,3472148,2012-09-04,f,1.0,t,Ditmars Steinway,Queens,40.774517386210775,-73.90888583674129,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,32
62,8194426,3118944,2012-07-31,f,2.0,t,Ditmars Steinway,Queens,40.775308945475615,-73.90993290079452,t,Bed & Breakfast,Private room,1.0,1.0,Real Bed,$450.00,0
63,4934421,25422856,2014-12-31,f,1.0,t,Ditmars Steinway,Queens,40.773770279714434,-73.90801282686375,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,365
64,18275045,35905947,2015-06-15,f,1.0,t,Ditmars Steinway,Queens,40.77747608644512,-73.90892044333334,t,Apartment,Private room,1.0,1.0,Real Bed,$57.00,61
65,15196291,3492341,2012-09-06,f,1.0,t,Ditmars Steinway,Queens,40.77784453276649,-73.91500405456351,t,Apartment,Private room,1.0,1.0,Real Bed,$59.00,19
67,7631233,22994376,2014-10-26,f,1.0,t,Ditmars Steinway,Queens,40.78261273737138,-73.91451974999623,t,Apartment,Private room,1.0,1.0,Real Bed,$53.00,0
68,10789911,32003714,2015-04-26,f,1.0,t,Ditmars Steinway,Queens,40.77567386005004,-73.92202285701126,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,363
75,11625684,1172202,2011-09-17,f,6.0,t,Ditmars Steinway,Queens,40.7712315722108,-73.90931729850006,t,House,Private room,1.0,3.0,Real Bed,$100.00,153
76,9555648,23815371,2014-11-16,f,1.0,t,Ditmars Steinway,Queens,40.78114759911273,-73.90883098860029,t,House,Entire home/apt,1.0,1.0,Real Bed,$95.00,335
77,9859181,10237786,2013-11-24,f,1.0,t,Ditmars Steinway,Queens,40.7827439039675,-73.91317926476302,t,House,Entire home/apt,3.0,6.0,Real Bed,$165.00,324
79,14788009,69029231,2016-04-26,t,3.0,t,Ditmars Steinway,Queens,40.78030632186128,-73.91003014419681,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$95.00,296
80,9825967,50603026,2015-12-05,f,1.0,t,Ditmars Steinway,Queens,40.776049463288295,-73.90773737561045,t,Condominium,Entire home/apt,1.0,1.0,Real Bed,$85.00,342
