,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
1,3943387,20433973,2014-08-23,f,1.0,t,City Island,Bronx,40.839396193871046,-73.78143724844766,t,House,Private room,1.0,1.0,Real Bed,$65.00,362
3,6627449,13886510,2014-04-04,f,1.0,t,City Island,Bronx,40.84977456920603,-73.78660938743727,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,335
4,7949480,119445,2010-05-06,t,1.0,t,City Island,Bronx,40.85205377887418,-73.78867963460138,t,House,Private room,1.0,1.0,Real Bed,$99.00,174
6,5557381,28811542,2015-03-05,f,1.0,t,City Island,Bronx,40.85002381416047,-73.78932759494228,t,House,Private room,1.0,1.0,Real Bed,$69.00,355
8,2831277,14483998,2014-04-19,t,1.0,t,City Island,Bronx,40.85527435521511,-73.7911010857536,t,Boat,Entire home/apt,1.0,3.0,Real Bed,$30.00,25
9,11675715,56714504,2016-01-30,t,1.0,t,City Island,Bronx,40.851391475520586,-73.78413886754987,t,House,Entire home/apt,1.0,2.0,Real Bed,$85.00,319
10,715270,3684360,2012-09-26,f,4.0,t,Allerton,Bronx,40.859559279042436,-73.87066897774649,t,Apartment,Private room,1.0,2.0,Real Bed,$39.00,285
12,4462008,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86814416518714,-73.85874498297198,t,House,Private room,1.0,2.0,Real Bed,$48.00,361
15,5046189,23732730,2014-11-14,t,2.0,t,Allerton,Bronx,40.87054096738221,-73.84680708823343,t,House,Entire home/apt,2.0,4.0,Real Bed,$99.00,352
17,182177,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.864658045324134,-73.85708738793606,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$125.00,161
19,755528,3684360,2012-09-26,f,4.0,t,Allerton,Bronx,40.858396592609346,-73.86968575313621,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$49.00,217
20,14126631,4803103,2013-01-22,f,1.0,t,Allerton,Bronx,40.85903353913597,-73.8706131124229,t,Apartment,Private room,1.0,1.0,Real Bed,$38.00,115
22,4407790,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668196519771,-73.85811594431937,t,House,Private room,1.0,1.0,Real Bed,$51.00,324
23,3400359,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86676961474904,-73.8593779298868,t,House,Private room,1.0,1.0,Real Bed,$48.00,352
24,759901,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.86633066268338,-73.85642849360434,t,House,Private room,1.0,1.0,Real Bed,$85.00,336
26,12496118,11305944,2014-01-14,f,2.0,t,Allerton,Bronx,40.869469115265055,-73.85993496557778,t,House,Entire home/apt,1.0,1.0,Real Bed,$90.00,80
28,3429765,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668887200942,-73.857756180011,t,House,Private room,1.0,1.0,Real Bed,$45.00,338
31,3929317,20356268,2014-08-21,f,1.0,t,Ditmars Steinway,Queens,40.773172746559844,-73.91689652440975,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,131
33,1821973,717082,2011-06-18,f,3.0,t,Ditmars Steinway,Queens,40.770922363129635,-73.91555846590641,t,Apartment,Private room,1.0,1.0,Real Bed,$59.00,365
39,9730168,50209230,2015-11-30,f,1.0,t,Ditmars Steinway,Queens,40.77672561184651,-73.91231773674053,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$95.00,244
40,11641041,7693749,2013-07-24,t,2.0,t,Ditmars Steinway,Queens,40.773099989734966,-73.91245981178187,t,Apartment,Entire home/apt,3.0,4.0,Real Bed,$148.00,74
41,12814991,34034047,2015-05-23,f,1.0,t,Ditmars Steinway,Queens,40.77423451679372,-73.90714958393518,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$126.00,14
43,14788009,69029231,2016-04-26,f,1.0,t,Ditmars Steinway,Queens,40.78030632186128,-73.91003014419681,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$85.00,161
44,13922056,82489032,2016-07-08,f,1.0,t,Ditmars Steinway,Queens,40.774207842498285,-73.9121559533978,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$125.00,0
46,12630490,68585220,2016-04-23,f,1.0,t,Ditmars Steinway,Queens,40.77720184163647,-73.90897463556766,t,House,Entire home/apt,2.0,2.0,Real Bed,$99.00,359
47,12147125,24822059,2014-12-14,f,2.0,t,Ditmars Steinway,Queens,40.77814101082296,-73.9066070826551,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$130.00,0
48,13512004,24822059,2014-12-14,f,2.0,t,Ditmars Steinway,Queens,40.776862568373105,-73.9083069115378,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,0
49,8783113,10314085,2013-11-28,f,2.0,t,Ditmars Steinway,Queens,40.77604685674717,-73.90989792898188,t,Dorm,Private room,1.0,1.0,Real Bed,$65.00,180
52,8391132,44213272,2015-09-14,f,5.0,t,Ditmars Steinway,Queens,40.77229137052499,-73.91627885850579,t,House,Private room,1.0,1.0,Real Bed,$45.00,365
53,16860045,97127885,2016-09-28,f,1.0,t,Ditmars Steinway,Queens,40.76813843817451,-73.89573490866644,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$48.00,271
58,8393016,44213272,2015-09-14,f,5.0,t,Ditmars Steinway,Queens,40.774494368394336,-73.91505302898645,t,House,Private room,1.0,1.0,Real Bed,$40.00,162
59,1578776,4645357,2013-01-09,f,1.0,t,Ditmars Steinway,Queens,40.77435022423385,-73.91217457904911,t,Apartment,Private room,1.0,2.0,Real Bed,$59.00,365
60,8145603,43007744,2015-08-31,t,1.0,t,Ditmars Steinway,Queens,40.7743329786136,-73.91734380360886,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,174
61,9452237,5855145,2013-04-09,f,4.0,t,Ditmars Steinway,Queens,40.77587950462839,-73.90781576320656,t,House,Entire home/apt,2.0,3.0,Real Bed,$81.00,339
64,6950074,6434434,2013-05-17,f,1.0,t,Ditmars Steinway,Queens,40.77890458654233,-73.90688292718258,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$110.00,1
69,1114788,6118355,2013-04-27,f,2.0,t,Ditmars Steinway,Queens,40.77102534139929,-73.89461306289884,t,Apartment,Private room,1.0,1.0,Real Bed,$89.00,362
70,14090966,16861858,2014-06-16,f,1.0,t,Ditmars Steinway,Queens,40.77397776504965,-73.90584313610594,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,77
73,13575399,4983814,2013-02-06,f,2.0,t,Ditmars Steinway,Queens,40.773581249482284,-73.91831994075504,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
75,5232121,3339701,2012-08-22,f,4.0,t,Ditmars Steinway,Queens,40.77775897402653,-73.91612174364606,t,House,Private room,1.0,1.0,Real Bed,$55.00,303
80,2051499,10513282,2013-12-08,f,1.0,t,Ditmars Steinway,Queens,40.775688557522656,-73.91275061610678,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$86.00,356
81,7557546,9443343,2013-10-15,t,1.0,t,Ditmars Steinway,Queens,40.77671612849661,-73.9195610693191,t,House,Entire home/apt,2.0,2.0,Real Bed,$112.00,237
82,11625684,1172202,2011-09-17,f,6.0,t,Ditmars Steinway,Queens,40.7712315722108,-73.90931729850006,t,House,Private room,1.0,3.0,Real Bed,$100.00,147
83,2745620,1172202,2011-09-17,f,6.0,t,Ditmars Steinway,Queens,40.77138068424916,-73.90894688061577,t,House,Private room,1.0,1.0,Real Bed,$55.00,133
84,4550494,785283,2011-07-06,f,1.0,t,Ditmars Steinway,Queens,40.77648368887572,-73.91594862767505,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$120.00,61
90,7168652,37546754,2015-07-05,f,1.0,t,Ditmars Steinway,Queens,40.77315573693764,-73.8922954432017,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,365
94,13202799,5402234,2013-03-10,f,1.0,t,Ditmars Steinway,Queens,40.77480881229492,-73.9156206954849,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,0
95,1209955,3007815,2012-07-21,f,1.0,t,Ditmars Steinway,Queens,40.7714656867996,-73.9166009458038,t,House,Private room,1.0,1.0,Real Bed,$69.00,68
97,17137576,17247848,2014-06-25,t,2.0,t,Ditmars Steinway,Queens,40.77654236229557,-73.90916445173035,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$120.00,22
98,3835681,3339701,2012-08-22,f,4.0,t,Ditmars Steinway,Queens,40.774782023808015,-73.91912899342401,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,302
102,16465775,24158518,2014-11-25,f,1.0,t,Ditmars Steinway,Queens,40.782684272775754,-73.91834498354748,t,House,Entire home/apt,1.0,2.0,Real Bed,$85.00,358
103,3250448,16441089,2014-06-05,f,1.0,t,Ditmars Steinway,Queens,40.777183265401355,-73.92675944709045,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$89.00,124
104,3644017,5909599,2013-04-13,f,3.0,t,Ditmars Steinway,Queens,40.77590933230476,-73.91450138530816,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,365
105,16814700,25144266,2014-12-23,t,4.0,t,Ditmars Steinway,Queens,40.77227962599761,-73.90572628290754,t,House,Entire home/apt,3.0,8.0,Real Bed,$299.00,293
109,10789911,32003714,2015-04-26,f,1.0,t,Ditmars Steinway,Queens,40.77567386005004,-73.92202285701126,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,363
110,4630265,23977617,2014-11-20,f,1.0,t,Ditmars Steinway,Queens,40.776924606108,-73.90626270285208,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$109.00,365
112,3383516,17070449,2014-06-21,f,2.0,t,Ditmars Steinway,Queens,40.77292070322486,-73.91398136240844,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,365
113,1097341,5855145,2013-04-09,f,4.0,t,Ditmars Steinway,Queens,40.77457954183944,-73.90985440483962,t,Apartment,Private room,1.0,1.0,Real Bed,$40.00,362
117,239733,1256874,2011-10-06,t,1.0,t,Ditmars Steinway,Queens,40.776794416525576,-73.91686688630948,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$68.00,365
118,764052,2618273,2012-06-12,f,1.0,t,Ditmars Steinway,Queens,40.77466050019729,-73.91807086853075,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$390.00,44
