,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
0,7949480,119445,2010-05-06,t,1.0,t,City Island,Bronx,40.85205377887418,-73.78867963460138,t,House,Private room,1.0,1.0,Real Bed,$99.00,170
3,6627449,13886510,2014-04-04,f,1.0,t,City Island,Bronx,40.84977456920603,-73.78660938743727,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,335
4,5557381,28811542,2015-03-05,f,1.0,t,City Island,Bronx,40.85002381416047,-73.78932759494228,t,House,Private room,1.0,1.0,Real Bed,$69.00,352
6,11675715,56714504,2016-01-30,t,1.0,t,City Island,Bronx,40.851391475520586,-73.78413886754987,t,House,Entire home/apt,1.0,2.0,Real Bed,$85.00,306
7,715270,3684360,2012-09-26,f,4.0,t,Allerton,Bronx,40.859559279042436,-73.87066897774649,t,Apartment,Private room,1.0,2.0,Real Bed,$39.00,306
8,17876530,11305944,2014-01-14,f,3.0,t,Allerton,Bronx,40.868681759083366,-73.85482829173488,t,House,Entire home/apt,1.0,1.0,Real Bed,$95.00,144
9,182177,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.864658045324134,-73.85708738793606,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$125.00,106
10,759901,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.86633066268338,-73.85642849360434,t,House,Private room,1.0,1.0,Real Bed,$85.00,304
13,4407790,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668196519771,-73.85811594431937,t,House,Private room,1.0,1.0,Real Bed,$45.00,271
14,14126631,4803103,2013-01-22,f,1.0,t,Allerton,Bronx,40.85903353913597,-73.8706131124229,t,Apartment,Private room,1.0,1.0,Real Bed,$38.00,123
15,3429765,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668887200942,-73.857756180011,t,House,Private room,1.0,1.0,Real Bed,$45.00,298
19,755528,3684360,2012-09-26,f,4.0,t,Allerton,Bronx,40.858396592609346,-73.86968575313621,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$49.00,220
20,12496118,11305944,2014-01-14,f,3.0,t,Allerton,Bronx,40.869469115265055,-73.85993496557778,t,House,Entire home/apt,1.0,1.0,Real Bed,$110.00,15
23,5046189,23732730,2014-11-14,t,2.0,t,Allerton,Bronx,40.87054096738221,-73.84680708823343,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$150.00,346
27,3400359,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86676961474904,-73.8593779298868,t,House,Private room,1.0,1.0,Real Bed,$46.00,346
28,4462008,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86814416518714,-73.85874498297198,t,House,Private room,1.0,2.0,Real Bed,$43.00,357
30,7631233,22994376,2014-10-26,f,1.0,t,Ditmars Steinway,Queens,40.78261273737138,-73.91451974999623,t,Apartment,Private room,1.0,1.0,Real Bed,$52.00,0
32,8507328,44213272,2015-09-14,f,5.0,t,Ditmars Steinway,Queens,40.77259195454057,-73.91459012362118,t,House,Private room,1.0,1.0,Real Bed,$50.00,338
38,11301089,1448564,2011-11-27,f,2.0,t,Ditmars Steinway,Queens,40.780801631047524,-73.9102462884073,t,Apartment,Entire home/apt,2.0,5.0,Real Bed,$79.00,362
43,2836845,10987233,2014-01-03,t,1.0,t,Ditmars Steinway,Queens,40.77296895279653,-73.916037916329,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$160.00,260
45,4767748,24597265,2014-12-07,t,8.0,t,Ditmars Steinway,Queens,40.77205773499124,-73.91124449204551,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$105.00,230
46,13202799,5402234,2013-03-10,f,1.0,t,Ditmars Steinway,Queens,40.77480881229492,-73.9156206954849,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,0
49,771436,4070269,2012-11-05,f,1.0,t,Ditmars Steinway,Queens,40.78026875914158,-73.90820569304336,t,House,Entire home/apt,3.0,1.0,Real Bed,$195.00,365
51,17811353,121741341,2017-03-20,f,1.0,t,Ditmars Steinway,Queens,40.77131532464577,-73.90543292701321,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,243
