,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
0,3831,4869,2008-12-07,f,1.0,t,Clinton Hill,Brooklyn,40.685140000000004,-73.95976,t,Guest suite,Entire home/apt,1.0,4.0,Real Bed,$89.00,166
5,5203,7490,2009-02-05,f,1.0,t,Upper West Side,Manhattan,40.80178,-73.96723,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,0
6,5238,7549,2009-02-07,t,4.0,t,Chinatown,Manhattan,40.713440000000006,-73.99037,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,0
7,5295,7702,2009-02-10,f,1.0,t,Upper West Side,Manhattan,40.80316,-73.96545,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,89
8,5441,7989,2009-02-16,t,1.0,t,Hell's Kitchen,Manhattan,40.76076,-73.98867,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,14
10,5803,9744,2009-03-10,t,3.0,t,South Slope,Brooklyn,40.66829,-73.98779,t,Townhouse,Private room,1.0,0.0,Real Bed,$89.00,350
11,6090,11975,2009-04-01,t,2.0,t,West Village,Manhattan,40.7353,-74.00525,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,271
13,7097,17571,2009-05-17,t,1.0,t,Fort Greene,Brooklyn,40.69169,-73.97185,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$199.00,317
14,7322,18946,2009-05-27,t,1.0,t,Chelsea,Manhattan,40.74192,-73.99501,t,Apartment,Private room,1.0,1.0,Real Bed,$140.00,40
17,8025,22486,2009-06-20,f,4.0,t,Park Slope,Brooklyn,40.67989,-73.97798,t,Townhouse,Private room,1.0,2.0,Real Bed,$80.00,139
18,8110,22486,2009-06-20,f,4.0,t,Park Slope,Brooklyn,40.680009999999996,-73.97865,t,Bed and breakfast,Private room,4.0,8.0,Real Bed,$110.00,351
19,8490,25183,2009-07-10,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68371,-73.94028,t,Loft,Entire home/apt,1.0,4.0,Real Bed,$120.00,289
21,8700,26394,2009-07-20,f,1.0,t,Inwood,Manhattan,40.867540000000005,-73.92639,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,0
23,9518,31374,2009-08-12,f,1.0,t,Inwood,Manhattan,40.86482,-73.92106,t,Apartment,Private room,1.0,1.0,Real Bed,$44.00,355
24,9657,21904,2009-06-16,f,1.0,t,East Village,Manhattan,40.7292,-73.98541999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$180.00,81
27,9782,32169,2009-08-17,f,3.0,t,Greenpoint,Brooklyn,40.722190000000005,-73.93762,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,310
29,10962,9744,2009-03-10,t,3.0,t,South Slope,Brooklyn,40.668690000000005,-73.9878,t,Townhouse,Private room,1.0,0.0,Real Bed,$89.00,324
30,11174,40979,2009-09-24,f,1.0,t,Bushwick,Brooklyn,40.704570000000004,-73.91869,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$98.00,0
34,12192,46978,2009-10-19,f,2.0,t,East Village,Manhattan,40.7229,-73.98199,t,Apartment,Private room,1.0,1.0,Real Bed,$68.00,43
36,12627,49670,2009-10-29,t,1.0,t,Prospect-Lefferts Gardens,Brooklyn,40.659440000000004,-73.96238000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$150.00,147
37,12937,50124,2009-10-31,t,1.0,t,Long Island City,Queens,40.74771,-73.9474,t,Townhouse,Private room,1.0,2.0,Real Bed,$130.00,184
38,12940,50148,2009-10-31,f,6.0,t,Bedford-Stuyvesant,Brooklyn,40.68111,-73.95591,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$110.00,306
39,13050,50846,2009-11-02,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68554,-73.9409,t,Townhouse,Entire home/apt,2.0,2.0,Real Bed,$115.00,0
40,13394,52335,2009-11-08,f,2.0,t,Fort Greene,Brooklyn,40.69142,-73.97376,t,Apartment,Private room,1.0,0.0,Real Bed,$80.00,247
41,13808,54275,2009-11-14,f,3.0,t,Bedford-Stuyvesant,Brooklyn,40.68043,-73.93934,t,Townhouse,Private room,1.0,1.0,Real Bed,$80.00,307
44,14314,56246,2009-11-21,f,2.0,t,Greenpoint,Brooklyn,40.73506,-73.95392,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$149.00,265
45,14322,56284,2009-11-21,f,1.0,t,Kips Bay,Manhattan,40.73961,-73.98074,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$200.00,276
46,14377,56512,2009-11-22,f,1.0,t,Williamsburg,Brooklyn,40.70881,-73.9593,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$150.00,137
48,14991,59023,2009-12-01,f,1.0,t,Lower East Side,Manhattan,40.720040000000004,-73.99104,t,Apartment,Private room,1.0,1.0,Real Bed,$110.00,360
49,15220,59734,2009-12-03,f,2.0,t,Hell's Kitchen,Manhattan,40.755309999999994,-73.99293,t,Apartment,Private room,1.0,1.0,Real Bed,$69.00,308
51,15338,32169,2009-08-17,f,3.0,t,Greenpoint,Brooklyn,40.72401,-73.93788,t,Apartment,Private room,1.0,1.0,Real Bed,$49.00,338
52,15341,60049,2009-12-04,f,2.0,t,SoHo,Manhattan,40.7221,-73.99775,t,Condominium,Entire home/apt,1.0,2.0,Real Bed,$180.00,62
53,15385,60252,2009-12-05,t,1.0,t,Williamsburg,Brooklyn,40.71185,-73.96204,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,280
54,15396,60278,2009-12-05,f,2.0,t,Chelsea,Manhattan,40.74623,-73.9953,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$375.00,180
55,15711,61491,2009-12-09,f,2.0,t,Upper East Side,Manhattan,40.77065,-73.95269,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$250.00,217
56,15729,61531,2009-12-09,f,3.0,t,Red Hook,Brooklyn,40.67695,-74.01120999999999,t,House,Private room,1.0,1.0,Real Bed,$89.00,0
57,16326,63588,2009-12-16,f,2.0,t,Prospect Heights,Brooklyn,40.67811,-73.96428,t,Condominium,Entire home/apt,4.0,4.0,Real Bed,$200.00,306
58,16338,63613,2009-12-16,f,2.0,t,Clinton Hill,Brooklyn,40.69,-73.96788000000001,t,Apartment,Private room,1.0,2.0,Real Bed,$45.00,194
59,16421,63924,2009-12-17,t,1.0,t,Hell's Kitchen,Manhattan,40.75979,-73.99119,t,Apartment,Private room,1.0,1.0,Real Bed,$52.00,206
60,16458,64056,2009-12-18,f,1.0,t,Park Slope,Brooklyn,40.673429999999996,-73.98338000000001,t,Condominium,Entire home/apt,2.0,1.0,Real Bed,$225.00,0
61,16580,64442,2009-12-19,t,1.0,t,East Village,Manhattan,40.726490000000005,-73.97904,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,130
63,16821,4396,2008-11-19,f,3.0,t,East Village,Manhattan,40.72298,-73.98474,t,Apartment,Private room,1.0,1.0,Real Bed,$99.00,357
64,16974,65837,2009-12-26,t,1.0,t,East Harlem,Manhattan,40.80164,-73.93921999999999,t,Loft,Entire home/apt,4.0,6.0,Real Bed,$225.00,243
65,17037,66035,2009-12-27,f,1.0,t,East Village,Manhattan,40.72162,-73.98008,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$260.00,151
66,17092,66243,2009-12-28,f,1.0,t,Hell's Kitchen,Manhattan,40.76342,-73.98865,t,Apartment,Private room,1.0,1.0,Real Bed,$51.00,149
68,17747,68599,2010-01-07,t,1.0,t,Clinton Hill,Brooklyn,40.68346,-73.96374,t,Apartment,Private room,1.0,1.0,Real Bed,$105.00,334
69,18127,69829,2010-01-11,f,1.0,t,East Village,Manhattan,40.72828,-73.98801,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$170.00,310
70,18152,69942,2010-01-12,f,1.0,t,Upper East Side,Manhattan,40.76865,-73.95058,t,Apartment,Private room,2.0,1.0,Real Bed,$200.00,313
72,18590,71512,2010-01-18,t,5.0,t,Fort Greene,Brooklyn,40.6932,-73.97267,t,Apartment,Private room,1.0,1.0,Real Bed,$95.00,168
74,18764,72014,2010-01-20,f,4.0,t,Williamsburg,Brooklyn,40.71154,-73.96112,t,Apartment,Private room,2.0,2.0,Real Bed,$145.00,301
75,19159,73051,2010-01-24,f,2.0,t,Harlem,Manhattan,40.82915,-73.95136,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$110.00,156
76,19169,73128,2010-01-24,t,2.0,t,Lower East Side,Manhattan,40.718509999999995,-73.98892,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$285.00,336
