,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
0,18461891,916092,2011-08-03,f,1.0,t,Ditmars Steinway,Queens,40.77414228833205,-73.91624600207413,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$110.00,0
2,6627449,13886510,2014-04-04,f,1.0,t,City Island,Bronx,40.84977456920603,-73.78660938743727,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,363
5,5557381,28811542,2015-03-05,t,1.0,t,City Island,Bronx,40.85002381416047,-73.78932759494228,t,House,Private room,1.0,1.0,Real Bed,$69.00,325
7,7949480,119445,2010-05-06,t,1.0,t,City Island,Bronx,40.85205377887418,-73.78867963460138,t,House,Private room,1.0,1.0,Real Bed,$101.00,179
13,11675715,56714504,2016-01-30,t,1.0,t,City Island,Bronx,40.851391475520586,-73.78413886754987,t,House,Entire home/apt,1.0,2.0,Real Bed,$85.00,332
14,3400359,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86676961474904,-73.8593779298868,t,House,Private room,1.0,1.0,Real Bed,$44.00,339
15,4407790,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668196519771,-73.85811594431937,t,House,Private room,1.0,1.0,Real Bed,$47.00,130
16,715270,3684360,2012-09-26,f,5.0,t,Allerton,Bronx,40.859559279042436,-73.87066897774649,t,Apartment,Private room,1.0,2.0,Real Bed,$39.00,354
18,759901,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.86633066268338,-73.85642849360434,t,House,Private room,1.0,1.0,Real Bed,$85.00,337
20,12496118,11305944,2014-01-14,f,3.0,t,Allerton,Bronx,40.869469115265055,-73.85993496557778,t,House,Entire home/apt,1.0,1.0,Real Bed,$105.00,47
26,182177,873273,2011-07-26,f,4.0,t,Allerton,Bronx,40.864658045324134,-73.85708738793606,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$125.00,330
27,17876530,11305944,2014-01-14,f,3.0,t,Allerton,Bronx,40.868681759083366,-73.85482829173488,t,House,Entire home/apt,1.0,2.0,Real Bed,$110.00,170
28,5046189,23732730,2014-11-14,f,3.0,t,Allerton,Bronx,40.87054096738221,-73.84680708823343,t,Apartment,Entire home/apt,1.0,4.0,Real Bed,$200.00,351
30,755528,3684360,2012-09-26,f,5.0,t,Allerton,Bronx,40.858396592609346,-73.86968575313621,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$49.00,293
31,3429765,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.8668887200942,-73.857756180011,t,House,Private room,1.0,1.0,Real Bed,$43.00,276
34,4462008,16286162,2014-06-02,f,4.0,t,Allerton,Bronx,40.86814416518714,-73.85874498297198,t,House,Private room,1.0,2.0,Real Bed,$44.00,339
35,20449125,10725461,2013-12-20,f,1.0,t,Allerton,Bronx,40.85929297702501,-73.8696068625731,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$109.00,122
36,6292515,690405,2011-06-11,f,1.0,t,Ditmars Steinway,Queens,40.77178711402919,-73.89879851322887,t,Apartment,Private room,1.0,1.0,Real Bed,$40.00,0
